Common Name English	AOU 	GenusSpecies	FourLetter
White-rumped Sandpiper	2400	Calidris fuscicollis	WRSA
White-striped Woodcreeper	14440	Lepidocolaptes leucogaster	WSWO
White-tailed Hawk	3410	Buteo albicaudatus	WTHA
White-tailed Kite	3280	Elanus leucurus	WTKI
White-tailed Ptarmigan	3040	Lagopus leucura	WTPT
White-throated Flycatcher	15500	Empidonax albigularis	WTFL
White-throated Magpie-Jay	16240	Calocitta formosa	WTMJ
White-throated Sparrow	5580	Zonotrichia albicollis	WTSP
White-throated Swift	4250	Aeronautes saxatalis	WTSW
White-throated Thrush	17020	Turdus assimilis	WTTH
White-tipped Dove	3180	Leptotila verreauxi	WTDO
White-winged Crossbill	5220	Loxia leucoptera	WWCR
White-winged Dove	3190	Zenaida asiatica	WWDO
White-winged Parakeet	3825	Brotogeris versicolurus	WWPA
White-winged Scoter	1650	Melanitta fusca	WWSC
White-winged Tanager	18310	Piranga leucoptera	WWTA
Whooping Crane	2040	Grus americana	WHCR
Wild Turkey	3100	Meleagris gallopavo	WITU
Willet	2580	Tringa semipalmata	WILL
Williamson's Sapsucker	4040	Sphyrapicus thyroideus	WISA
Willow Flycatcher	4660	Empidonax traillii	WIFL
Willow Ptarmigan	3010	Lagopus lagopus	WIPT
Wilson's Phalarope	2240	Phalaropus tricolor	WIPH
Wilson's Plover	2800	Charadrius wilsonia	WIPL
Wilson's Snipe	2300	Gallinago delicata	WISN
Wilson's Storm-Petrel	1090	Oceanites oceanicus	WISP
Wilson's Warbler	6850	Cardellina pusilla	WIWA
Winter Wren	7222	Troglodytes hiemalis	WIWR
Wood Duck	1440	Aix sponsa	WODU
Wood Stork	1880	Mycteria americana	WOST
Wood Thrush	7550	Hylocichla mustelina	WOTH
Wood Warbler	7473	Phylloscopus sibilatrix	WOWA
Worm-eating Warbler	6390	Helmitheros vermivorum	WEWA
Worthen's Sparrow	5640	Spizella wortheni	WOSP
Wrentit	7420	Chamaea fasciata	WREN
Xantus's Hummingbird	4400	Hylocharis xantusii	XAHU
Yellow Grosbeak	5961	Pheucticus chrysopeplus	YEGR
Yellow Rail	2150	Coturnicops noveboracensis	YERA
Yellow Warbler	6520	Setophaga petechia	YEWA
Yellow-bellied Flycatcher	4630	Empidonax flaviventris	YBFL
Yellow-bellied Sapsucker	4020	Sphyrapicus varius	YBSA
Yellow-billed Cacique	19350	Amblycercus holosericeus	YBIC
Yellow-billed Cuckoo	3870	Coccyzus americanus	YBCU
Yellow-billed Loon	80	Gavia adamsii	YBLO
Yellow-billed Magpie	4760	Pica nuttalli	YBMA
Yellow-breasted Chat	6830	Icteria virens	YBCH
Yellow-chevroned Parakeet	52021	#N/A	#N/A
Yellow-crowned Night-Heron	2030	Nyctanassa violacea	YCNH
Yellow-eyed Junco	5700	Junco phaeonotus	YEJU
Yellow-faced Grassquit	6032	Tiaris olivaceus	YFGR
Yellow-footed Gull	491	Larus livens	YFGU
Yellow-green Vireo	6250	Vireo flavoviridis	YGVI
Yellow-headed Blackbird	4970	Xanthocephalus xanthocephalus	YHBL
Yellow-headed Parrot	11600	Amazona oratrix	YHPA
Yellow-throated Euphonia	18040	Euphonia hirundinacea	YTEU
Yellow-throated Vireo	6280	Vireo flavifrons	YTVI
Yellow-throated Warbler	6630	Setophaga dominica	YTWA
Yellow-winged Cacique	19380	Cassiculus melanicterus	YWCA
Yellow-winged Tanager	18130	Thraupis abbas	YWTA
Zenaida Dove	3170	Zenaida aurita	ZEND
Zone-tailed Hawk	3400	Buteo albonotatus	ZTHA
